fn,tid,title,wordsInTitle,url,imdbRating,ratingCount,duration,year,type,nrOfWins,nrOfNominations,nrOfPhotos,nrOfNewsArticles,nrOfUserReviews,nrOfGenre,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,FilmNoir,GameShow,History,Horror,Music,Musical,Mystery,News,RealityTV,Romance,SciFi,Short,Sport,TalkShow,Thriller,War,Western,brorate
titles01/tt0468569,tt0468569,The Dark Knight (2008),the dark knight,http://www.imdb.com/title/tt0468569/,9.0,1148515,9120,2008,video.movie,94,69,107,17229,3930,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
titles01/tt0993846,tt0993846,The Wolf of Wall Street (2013),the wolf of wall street,http://www.imdb.com/title/tt0993846/,8.4,285401,10800,2013,video.movie,17,62,73,3597,779,3,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
titles01/tt1205489,tt1205489,Gran Torino (2008),gran torino,http://www.imdb.com/title/tt1205489/,8.2,405722,6960,2008,video.movie,20,8,62,1349,815,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
titles01/tt1375666,tt1375666,Inception (2010),inception,http://www.imdb.com/title/tt1375666/,8.8,942259,8880,2010,video.movie,83,110,135,10101,2450,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,80
titles01/tt1454468,tt1454468,Gravity (2013),gravity,http://www.imdb.com/title/tt1454468/,8.1,341562,5460,2013,video.movie,104,75,79,4911,1556,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,78.5
titles01/tt1490017,tt1490017,Lego (2014),lego,http://www.imdb.com/title/tt1490017/,8.3,52708,6000,2014,video.movie,1,0,42,1651,225,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
titles03/index.html.2849,tt0133152,Planet der Affen (2001),planet der affen,http://www.imdb.com/title/tt0133152/,5.7,144874,7140,2001,video.movie,9,20,89,2543,1345,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,75
titles02/index.html.2563,tt0120915,Star Wars: Episode I - Die dunkle Bedrohung (1999),star wars episode i die dunkle bedrohung,http://www.imdb.com/title/tt0120915/,6.5,379493,8160,1999,video.movie,12,52,228,1928,3443,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
titles02/index.html.2565,tt0121766,Star Wars: Episode III - Die Rache der Sith (2005),star wars episode iii die rache der sith,http://www.imdb.com/title/tt0121766/,7.7,363226,8400,2005,video.movie,14,29,371,1306,3187,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.5
titles02/index.html.2566,tt0121765,Star Wars: Episode II - Angriff der Klonkrieger (2002),star wars episode ii angriff der klonkrieger,http://www.imdb.com/title/tt0121765/,6.8,323204,8520,2002,video.movie,11,41,169,778,3412,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
titles02/index.html.2568,tt0770828,Man of Steel (2013),man of steel,http://www.imdb.com/title/tt0770828/,7.4,359724,8580,2013,video.movie,4,16,137,15096,2238,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.5
titles02/index.html.2569,tt1300854,Iron Man 3 (2013),iron man,http://www.imdb.com/title/tt1300854/,7.4,349551,7800,2013,video.movie,12,35,170,11894,1107,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
titles02/index.html.2738,tt1285016,The Social Network (2010),the social network,http://www.imdb.com/title/tt1285016/,7.8,334871,7200,2010,video.movie,102,86,159,11716,650,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
titles02/index.html.2769,tt1408101,Star Trek: Into Darkness (2013),star trek into darkness,http://www.imdb.com/title/tt1408101/,7.9,270323,7920,2013,video.movie,6,27,86,7706,1054,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,67.5
titles02/index.html.2772,tt1228705,Iron Man 2 (2010),iron man,http://www.imdb.com/title/tt1228705/,7.1,336029,7440,2010,video.movie,3,24,205,11441,684,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,67.5
titles02/index.html.3360,tt0104652,Porco Rosso (1992),porco rosso,http://www.imdb.com/title/tt0104652/,7.8,31450,5640,1992,video.movie,3,0,8,100,80,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
titles03/index.html.5966,tt1637574,Conan (TV Series 2010– ),conan tv series,http://www.imdb.com/title/tt1637574/,8.2,11340,3600,2010,video.tv,3,6,8,3682,8,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,40
titles02/index.html.5572,tt1596343,Fast & Furious Five (2011),fast furious five,http://www.imdb.com/title/tt1596343/,7.3,203466,7800,2011,video.movie,7,18,81,3967,340,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23
titles02/index.html.5877,tt0988045,Sherlock Holmes (2009),sherlock holmes,http://www.imdb.com/title/tt0988045/,7.6,346891,7680,2009,video.movie,9,20,63,9641,599,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
titles02/index.html.6051,tt1542344,127 Hours (2010),hours,http://www.imdb.com/title/tt1542344/,7.7,209297,5640,2010,video.movie,15,83,107,39,420,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
